epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9872,2.15511,5.16062,1.19232,0,0,0,0,nan,nan,nan,0.0704762,0.00328042,0.00328042
2,91.1754,2.02517,2.81581,1.16842,0,0,0,0,nan,nan,nan,0.0403671,0.00650463,0.00650463
3,199.001,1.99852,2.74456,1.16431,0.00918,0.02441,0.00241,0.00079,nan,nan,nan,0.0101479,0.00961884,0.00961884
4,302.073,1.95615,2.69425,1.12415,0.25529,0.32665,0.08134,0.03636,1.85837,inf,1.23046,0.009505,0.009505,0.009505
5,403.292,1.83397,2.64423,1.10891,0.20265,0.29249,0.17299,0.08507,1.76806,2.39744,1.14568,0.00934,0.00934,0.00934
6,505.632,1.84342,2.5491,1.10204,0.25228,0.39476,0.1533,0.07652,1.84474,4.12151,1.15108,0.009175,0.009175,0.009175
7,616.988,1.79505,2.53975,1.09586,0.50702,0.15068,0.06456,0.02261,2.46941,89.4355,1.38777,0.00901,0.00901,0.00901
8,722.081,1.7463,2.39117,1.08071,0.20353,0.25684,0.12692,0.05655,1.93437,2.61674,1.15732,0.008845,0.008845,0.008845
9,836.967,1.7541,2.35002,1.05474,0.29776,0.41579,0.26459,0.14394,1.56422,2.18717,1.04135,0.00868,0.00868,0.00868
10,943.036,1.68613,2.35368,1.05136,0.16457,0.18154,0.11175,0.05223,1.97757,2.65246,1.24788,0.008515,0.008515,0.008515
11,1048.23,1.66189,2.25029,1.05852,0.28762,0.42813,0.24826,0.1311,1.60216,2.40284,1.06322,0.00835,0.00835,0.00835
12,1154.97,1.61143,2.22047,1.03081,0.12139,0.53411,0.19749,0.10524,1.51658,4.02766,1.03959,0.008185,0.008185,0.008185
13,1259.37,1.64905,2.26735,1.0382,0.3445,0.2945,0.15881,0.08045,1.84079,2.58027,1.15801,0.00802,0.00802,0.00802
14,1361.82,1.60787,2.22991,1.0216,0.21733,0.39859,0.26721,0.13411,1.76734,2.15371,1.1089,0.007855,0.007855,0.007855
15,1467.7,1.58693,2.13556,1.02997,0.22003,0.54582,0.28851,0.16012,1.51354,2.7264,1.02457,0.00769,0.00769,0.00769
16,1576.54,1.57368,2.11723,1.02712,0.31765,0.37316,0.17197,0.07692,2.09431,3.04305,1.19266,0.007525,0.007525,0.007525
