epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.7629,1.93797,0.59918,0.90339,1.33009,0.066922,9.95327e-05,9.95327e-05
2,138.983,1.33253,0.70709,0.94347,0.91342,0.0336853,0.00019624,0.00019624
3,204.076,1.00402,0.76876,0.97431,0.72945,0.000445411,0.000289648,0.000289648
4,267.376,0.77208,0.80576,0.98253,0.60883,0.00028515,0.00028515,0.00028515
5,333.178,0.6826,0.82837,0.98869,0.5227,0.0002802,0.0002802,0.0002802
6,397.249,0.6099,0.86125,0.99486,0.43799,0.00027525,0.00027525,0.00027525
7,464.137,0.55774,0.84584,0.98664,0.53413,0.0002703,0.0002703,0.0002703
8,531.49,0.50077,0.88386,0.99178,0.41954,0.00026535,0.00026535,0.00026535
9,595.496,0.45093,0.88798,0.99383,0.36196,0.0002604,0.0002604,0.0002604
10,658.857,0.43136,0.8962,0.98972,0.31229,0.00025545,0.00025545,0.00025545
11,721.77,0.38536,0.87873,0.99281,0.38418,0.0002505,0.0002505,0.0002505
12,788.24,0.36333,0.90956,0.99383,0.27635,0.00024555,0.00024555,0.00024555
13,854.307,0.33375,0.8962,0.99383,0.33467,0.0002406,0.0002406,0.0002406
14,919.873,0.33063,0.90442,0.99486,0.30176,0.00023565,0.00023565,0.00023565
15,985.714,0.28242,0.91675,0.98972,0.30935,0.0002307,0.0002307,0.0002307
16,1051.78,0.28795,0.90442,0.99281,0.33236,0.00022575,0.00022575,0.00022575
17,1119.58,0.25584,0.92189,0.99589,0.2979,0.0002208,0.0002208,0.0002208
18,1185.62,0.24565,0.926,0.99589,0.2815,0.00021585,0.00021585,0.00021585
19,1251.38,0.23847,0.94553,0.99383,0.24731,0.0002109,0.0002109,0.0002109
20,1317.29,0.22654,0.926,0.99178,0.26449,0.00020595,0.00020595,0.00020595
21,1385.11,0.20998,0.93011,0.99383,0.23978,0.000201,0.000201,0.000201
22,1452.78,0.19965,0.93422,0.99383,0.23877,0.00019605,0.00019605,0.00019605
23,1519.6,0.20006,0.93834,0.99383,0.22596,0.0001911,0.0001911,0.0001911
24,1585.5,0.19757,0.93217,0.99383,0.23541,0.00018615,0.00018615,0.00018615
25,1651.95,0.19548,0.93936,0.99486,0.22902,0.0001812,0.0001812,0.0001812
26,1717.97,0.17291,0.9445,0.99383,0.24875,0.00017625,0.00017625,0.00017625
27,1784.7,0.18135,0.94142,0.99383,0.24071,0.0001713,0.0001713,0.0001713
28,1850.66,0.16928,0.93936,0.99692,0.23637,0.00016635,0.00016635,0.00016635
29,1917.16,0.17099,0.94039,0.99692,0.23684,0.0001614,0.0001614,0.0001614
