epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.7598,1.69357,0.50976,0.89825,1.41274,0.0668043,9.98869e-05,9.98869e-05
2,91.4957,0.85561,0.67729,0.97636,0.88826,0.0335708,0.000199751,0.000199751
3,134.702,0.54527,0.78726,0.98561,0.63538,0.000336781,0.000299074,0.000299074
4,177.226,0.39413,0.82837,0.98767,0.53059,0.000298172,0.000298172,0.000298172
5,219.662,0.30042,0.84789,0.99281,0.42808,0.000296755,0.000296755,0.000296755
6,261.12,0.26125,0.87153,0.99383,0.43373,0.00029494,0.00029494,0.00029494
7,301.949,0.22807,0.8777,0.99486,0.37659,0.000292732,0.000292732,0.000292732
8,338.409,0.1963,0.89003,0.99281,0.37823,0.000290137,0.000290137,0.000290137
9,375.064,0.17287,0.89106,0.99178,0.37868,0.000287162,0.000287162,0.000287162
10,411.584,0.16804,0.89003,0.99383,0.34649,0.000283814,0.000283814,0.000283814
11,447.994,0.14989,0.88695,0.99178,0.3474,0.000280105,0.000280105,0.000280105
12,484.561,0.13512,0.90545,0.99383,0.32241,0.000276043,0.000276043,0.000276043
13,521.138,0.13101,0.91059,0.99178,0.33717,0.000271639,0.000271639,0.000271639
14,558.805,0.12729,0.91675,0.99178,0.29278,0.000266906,0.000266906,0.000266906
15,599.193,0.12088,0.92395,0.99486,0.25663,0.000261857,0.000261857,0.000261857
16,638.915,0.11423,0.92292,0.99589,0.27035,0.000256505,0.000256505,0.000256505
17,677.786,0.10138,0.92292,0.99281,0.27886,0.000250866,0.000250866,0.000250866
18,714.729,0.09818,0.92086,0.99383,0.30395,0.000244954,0.000244954,0.000244954
19,751.359,0.08971,0.9332,0.99281,0.30154,0.000238786,0.000238786,0.000238786
20,787.968,0.09128,0.92497,0.99589,0.27354,0.000232379,0.000232379,0.000232379
21,824.512,0.08729,0.93525,0.99281,0.24868,0.00022575,0.00022575,0.00022575
22,861.44,0.07898,0.92806,0.99383,0.285,0.000218918,0.000218918,0.000218918
23,897.901,0.07765,0.92086,0.99281,0.29003,0.0002119,0.0002119,0.0002119
24,934.46,0.07637,0.93114,0.99383,0.26586,0.000204718,0.000204718,0.000204718
25,970.891,0.07095,0.93217,0.99281,0.26635,0.000197389,0.000197389,0.000197389
26,1007.42,0.06619,0.93525,0.99486,0.25596,0.000189935,0.000189935,0.000189935
27,1043.88,0.0652,0.93731,0.99383,0.27272,0.000182375,0.000182375,0.000182375
28,1080.35,0.05988,0.93628,0.99383,0.2662,0.000174731,0.000174731,0.000174731
29,1116.78,0.05997,0.93936,0.99692,0.24229,0.000167022,0.000167022,0.000167022
30,1153.5,0.06076,0.93628,0.99486,0.23497,0.000159272,0.000159272,0.000159272
31,1190.17,0.05206,0.93731,0.99692,0.23355,0.0001515,0.0001515,0.0001515
32,1227.07,0.05489,0.93525,0.99486,0.23819,0.000143728,0.000143728,0.000143728
33,1263.64,0.05246,0.93525,0.99486,0.25582,0.000135978,0.000135978,0.000135978
34,1300.21,0.04886,0.9445,0.99281,0.24628,0.000128269,0.000128269,0.000128269
35,1336.78,0.04594,0.94039,0.99486,0.23311,0.000120625,0.000120625,0.000120625
36,1373.3,0.04349,0.94142,0.99486,0.23154,0.000113065,0.000113065,0.000113065
37,1409.7,0.04411,0.93834,0.99794,0.23391,0.000105611,0.000105611,0.000105611
38,1446.63,0.04318,0.94142,0.99589,0.22499,9.82824e-05,9.82824e-05,9.82824e-05
39,1483.38,0.03682,0.94039,0.99589,0.24259,9.10996e-05,9.10996e-05,9.10996e-05
40,1519.97,0.04093,0.94245,0.99692,0.24884,8.40824e-05,8.40824e-05,8.40824e-05
41,1556.53,0.03879,0.94553,0.99589,0.24572,7.725e-05,7.725e-05,7.725e-05
42,1593.08,0.03475,0.94142,0.99589,0.23478,7.06211e-05,7.06211e-05,7.06211e-05
43,1629.61,0.03939,0.94347,0.99383,0.28208,6.42139e-05,6.42139e-05,6.42139e-05
44,1666.25,0.03597,0.94245,0.99383,0.25234,5.80459e-05,5.80459e-05,5.80459e-05
45,1702.73,0.03664,0.94142,0.99486,0.24895,5.21341e-05,5.21341e-05,5.21341e-05
46,1739.24,0.0335,0.94347,0.99486,0.25634,4.64946e-05,4.64946e-05,4.64946e-05
47,1775.78,0.03427,0.94861,0.99383,0.23229,4.1143e-05,4.1143e-05,4.1143e-05
48,1812.89,0.03001,0.95067,0.99692,0.22667,3.60938e-05,3.60938e-05,3.60938e-05
49,1850.09,0.02996,0.95067,0.99589,0.22418,3.1361e-05,3.1361e-05,3.1361e-05
50,1887.35,0.03091,0.94964,0.99486,0.22422,2.69574e-05,2.69574e-05,2.69574e-05
51,1958.35,0.03112,0.94758,0.99486,0.21815,2.28952e-05,2.28952e-05,2.28952e-05
52,1995.43,0.03203,0.94656,0.99589,0.22085,1.91855e-05,1.91855e-05,1.91855e-05
53,2033.24,0.03304,0.94553,0.99486,0.23761,1.58385e-05,1.58385e-05,1.58385e-05
54,2070.33,0.0287,0.94656,0.99486,0.22924,1.28633e-05,1.28633e-05,1.28633e-05
55,2107.53,0.02846,0.94656,0.99486,0.22752,1.02681e-05,1.02681e-05,1.02681e-05
56,2144.52,0.02675,0.9445,0.99486,0.22978,8.06001e-06,8.06001e-06,8.06001e-06
57,2181.53,0.03227,0.94553,0.99486,0.2304,6.24508e-06,6.24508e-06,6.24508e-06
58,2218.36,0.02999,0.94553,0.99486,0.2343,4.82828e-06,4.82828e-06,4.82828e-06
